title,link,source,published,summary,combined_text,compound,positive,neutral,negative,sentiment_label
OpenAI 딜이 어떻게 월마트를 시가총액 1조 달러 기업으로 만들 수 있는지,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68f37aab107b45f3aa53ba7fcb1caf7f&url=https%3a%2f%2fkr.investing.com%2fnews%2fstock-market-news%2farticle-1675002&c=2511421429485011218&mkt=ko-kr,"""OpenAI"" - Bing뉴스",2025-10-18T02:22:00+00:00,"Investing.com - 월마트 의 최근 발표된 OpenAI와의 파트너십이 이 소매업체를 시가총액 1조 달러로 끌어올리는 촉매제가 될 수 있다고 Mizuho Securities의 분석가들이 밝혔습니다. David Bellinger 분석가는 ChatGPT의 ""즉시 결제"" 기능 통합이 ""에이전트 커머스의 채택과 더 넓은 가속화에 있어 중요한 진전""이라고 ...","OpenAI 딜이 어떻게 월마트를 시가총액 1조 달러 기업으로 만들 수 있는지 Investing.com - 월마트 의 최근 발표된 OpenAI와의 파트너십이 이 소매업체를 시가총액 1조 달러로 끌어올리는 촉매제가 될 수 있다고 Mizuho Securities의 분석가들이 밝혔습니다. David Bellinger 분석가는 ChatGPT의 ""즉시 결제"" 기능 통합이 ""에이전트 커머스의 채택과 더 넓은 가속화에 있어 중요한 진전""이라고 ...",0.0,0.0,1.0,0.0,neutral
California Regulates A.I. Companions + OpenAI Investigates Its Critics + The Hard Fork Review of Slop - The New York Times,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNdG9IbktBQkYtOHRROV82SlF0V1h1NldVbmhzTndTNHFIZFNuSFVTcGUxNEtHaldMQlQ2X2h1alBTeE9pUUZPNmhQeDJzVVZxVFd6cWQ1VTVHa1lxVUU4cHFfdC1hWFZmdWdFSmR1cWVSSHV5R3RFY2NITnJEakRVaXRxeGtJcGJKMG5YSnJQbXF1OExYdUNIRXk0VHgwUXFLVHZ0aFNUaVNpS3doaTVzWlQyeDlJRHVQcFpwdzFzV21pdm9LQy1kVVo4b0JxYmV4UmRTem95WDNTUGh2?oc=5,"""""OpenAI"" review"" - Google News",2025-10-17T11:00:06+00:00,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNdG9IbktBQkYtOHRROV82SlF0V1h1NldVbmhzTndTNHFIZFNuSFVTcGUxNEtHaldMQlQ2X2h1alBTeE9pUUZPNmhQeDJzVVZxVFd6cWQ1VTVHa1lxVUU4cHFfdC1hWFZmdWdFSmR1cWVSSHV5R3RFY2NITnJEakRVaXRxeGtJcGJKMG5YSnJQbXF1OExYdUNIRXk0VHgwUXFLVHZ0aFNUaVNpS3doaTVzWlQyeDlJRHVQcFpwdzFzV21pdm9LQy1kVVo4b0JxYmV4UmRTem95WDNTUGh2?oc=5"" target=""_blank"">California Regulates A.I. Companions + OpenAI Investigates Its Critics + The Hard Fork Review of Slop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",California Regulates A.I. Companions + OpenAI Investigates Its Critics + The Hard Fork Review of Slop - The New York Times  California Regulates A.I. Companions + OpenAI Investigates Its Critics + The Hard Fork Review of Slop    The New York Times ,-0.6369,0.0,0.837,0.163,negative
"Bytes: Week in Review — Instagram to limit content for teens, Walmart lands OpenAI deal, and Apple rebrands streaming service - marketplace.org",https://news.google.com/rss/articles/CBMirwFBVV95cUxOUXBraldVcXpjS1dtX0RKVHBOOEZiVDl3TlBwX05MbUlTUURmbkJZcDVzT3diMWJQSElMVnZXc1RGTGNIc01VRW0yWHNoYUd3UVBLTkhsZnMxenNjekU5ODZia3RfZXNlcVdMb1g0dkIyOEFjcGQ5aERhNklham14bEt3dHg5Qk54VEJIV25CWUp2T0d0a3Jjb1RfSjM5elMxY3dLRDRtVkJaVHQ0dkNF?oc=5,"""""OpenAI"" review"" - Google News",2025-10-17T10:03:11+00:00,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOUXBraldVcXpjS1dtX0RKVHBOOEZiVDl3TlBwX05MbUlTUURmbkJZcDVzT3diMWJQSElMVnZXc1RGTGNIc01VRW0yWHNoYUd3UVBLTkhsZnMxenNjekU5ODZia3RfZXNlcVdMb1g0dkIyOEFjcGQ5aERhNklham14bEt3dHg5Qk54VEJIV25CWUp2T0d0a3Jjb1RfSjM5elMxY3dLRDRtVkJaVHQ0dkNF?oc=5"" target=""_blank"">Bytes: Week in Review — Instagram to limit content for teens, Walmart lands OpenAI deal, and Apple rebrands streaming service</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketplace.org</font>","Bytes: Week in Review — Instagram to limit content for teens, Walmart lands OpenAI deal, and Apple rebrands streaming service - marketplace.org  Bytes: Week in Review — Instagram to limit content for teens, Walmart lands OpenAI deal, and Apple rebrands streaming service    marketplace.org ",0.0,0.0,1.0,0.0,neutral
"뱅크오브아메리카, AMD 목표가 50달러 상향…OpenAI 협력",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68f37aab107b45f3aa53ba7fcb1caf7f&url=https%3a%2f%2fkr.investing.com%2fnews%2fstock-market-news%2farticle-1674574&c=18242595898714930346&mkt=ko-kr,"""OpenAI"" - Bing뉴스",2025-10-17T07:52:00+00:00,"Investing.com — 뱅크오브아메리카는 얼라인테크놀로지의 목표 주가를 250달러에서 300달러로 상향 조정하고, OpenAI와의 협력에 따른 인공지능 (AI) 수요 증가 전망을 반영하여 매수 의견을 유지했습니다.","뱅크오브아메리카, AMD 목표가 50달러 상향…OpenAI 협력 Investing.com — 뱅크오브아메리카는 얼라인테크놀로지의 목표 주가를 250달러에서 300달러로 상향 조정하고, OpenAI와의 협력에 따른 인공지능 (AI) 수요 증가 전망을 반영하여 매수 의견을 유지했습니다.",0.0,0.0,1.0,0.0,neutral
"2025 Market Review: Fed Rate Cut, AI Boom, AMD & OpenAI Deal, Stock Highs - News and Statistics - IndexBox",https://news.google.com/rss/articles/CBMioAFBVV95cUxNVEU4UVVIODcwLVhCRjBIVU03RTczUHRXcEJCYlBPSFdvSm1EWWhmZkM1RUhRT05jUzN6YzhFVFV3b2RBUldtVlQtd0JQd0NFTmI5T0lJV0J2TGg3a3ZoV1hsZXVVeW1ydnBYcG0yV1BIVk5tT25iV19RTXhLWDF6cUkxcThPZ0htaUU3clVkRjR1Wm1aUnh3SEtkYW5lMFJ1?oc=5,"""""OpenAI"" review"" - Google News",2025-10-16T14:38:43+00:00,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNVEU4UVVIODcwLVhCRjBIVU03RTczUHRXcEJCYlBPSFdvSm1EWWhmZkM1RUhRT05jUzN6YzhFVFV3b2RBUldtVlQtd0JQd0NFTmI5T0lJV0J2TGg3a3ZoV1hsZXVVeW1ydnBYcG0yV1BIVk5tT25iV19RTXhLWDF6cUkxcThPZ0htaUU3clVkRjR1Wm1aUnh3SEtkYW5lMFJ1?oc=5"" target=""_blank"">2025 Market Review: Fed Rate Cut, AI Boom, AMD & OpenAI Deal, Stock Highs - News and Statistics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IndexBox</font>","2025 Market Review: Fed Rate Cut, AI Boom, AMD & OpenAI Deal, Stock Highs - News and Statistics - IndexBox  2025 Market Review: Fed Rate Cut, AI Boom, AMD & OpenAI Deal, Stock Highs - News and Statistics    IndexBox ",-0.4939,0.0,0.898,0.102,negative
"증권가 “삼성전자·SK하이닉스, OpenAI 제휴로 반도체 밸류에이션 재평가 본격화”",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68f37aab107b45f3aa53ba7fcb1caf7f&url=https%3a%2f%2fwww.msn.com%2fko-kr%2fnews%2fother%2f%25EC%25A6%259D%25EA%25B6%258C%25EA%25B0%2580-%25EC%2582%25BC%25EC%2584%25B1%25EC%25A0%2584%25EC%259E%2590-sk%25ED%2595%2598%25EC%259D%25B4%25EB%258B%2589%25EC%258A%25A4-openai-%25EC%25A0%259C%25ED%259C%25B4%25EB%25A1%259C-%25EB%25B0%2598%25EB%258F%2584%25EC%25B2%25B4-%25EB%25B0%25B8%25EB%25A5%2598%25EC%2597%2590%25EC%259D%25B4%25EC%2585%2598-%25EC%259E%25AC%25ED%258F%2589%25EA%25B0%2580-%25EB%25B3%25B8%25EA%25B2%25A9%25ED%2599%2594%2far-AA1Ouu9A&c=6017820854238338674&mkt=ko-kr,"""OpenAI"" - Bing뉴스",2025-10-14T23:21:47+00:00,"●증권가 “AI 인프라 공급사 넘어 전략 파트너로 격상”삼성전자와 SK하이닉스가 세계적인 인공지능(AI) 선도 기업 OpenAI와 전략적 제휴를 맺은 것을 두고 증권가에선 “단순한 반도체 납품 계약을 넘어, 글로벌 AI 생태계 내 전략적 파트너로 격상됐다”고 평가하고 있다. 15일 증권가에 따르면 이번 OpenAI와의 제휴로 삼성전자와 SK하이닉스. 두 회 ...","증권가 “삼성전자·SK하이닉스, OpenAI 제휴로 반도체 밸류에이션 재평가 본격화” ●증권가 “AI 인프라 공급사 넘어 전략 파트너로 격상”삼성전자와 SK하이닉스가 세계적인 인공지능(AI) 선도 기업 OpenAI와 전략적 제휴를 맺은 것을 두고 증권가에선 “단순한 반도체 납품 계약을 넘어, 글로벌 AI 생태계 내 전략적 파트너로 격상됐다”고 평가하고 있다. 15일 증권가에 따르면 이번 OpenAI와의 제휴로 삼성전자와 SK하이닉스. 두 회 ...",0.0,0.0,1.0,0.0,neutral
"Walmart partners with OpenAI to let customers shop directly in ChatGPT, showing how AI is reshaping online retail - Notebookcheck",https://news.google.com/rss/articles/CBMi7gFBVV95cUxOZERSM3hJdVlGN2Y5Zi1DWlZxZXExR3NqMk9iZ0puOWRDNUtTQ0w3cmhrUFVMZGxDVDF6RDN6NFlzQzBDVmhfMkY2elZRc2tUbUMtbVZGTGJNME5vQjlnbHNQUTVNS19VMHZ0Qnl2TUJkOFM2b1UzdEozOE5venZXaWF2Ylk4OXdheF9ndEdzeTdUQlZsVW8xdHA1U2ZxdGRTcDVZaUJQcmZkblVQXzB0eGdUQ1hGNU1LTTFSeUFzeFhlaV9kN1c0dHI0bE03bmtHVnN3UGExZHNCa3ZVaEMyNWlnSWNmZ0ZOc3cyd3hR?oc=5,"""""OpenAI"" review"" - Google News",2025-10-14T17:24:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxOZERSM3hJdVlGN2Y5Zi1DWlZxZXExR3NqMk9iZ0puOWRDNUtTQ0w3cmhrUFVMZGxDVDF6RDN6NFlzQzBDVmhfMkY2elZRc2tUbUMtbVZGTGJNME5vQjlnbHNQUTVNS19VMHZ0Qnl2TUJkOFM2b1UzdEozOE5venZXaWF2Ylk4OXdheF9ndEdzeTdUQlZsVW8xdHA1U2ZxdGRTcDVZaUJQcmZkblVQXzB0eGdUQ1hGNU1LTTFSeUFzeFhlaV9kN1c0dHI0bE03bmtHVnN3UGExZHNCa3ZVaEMyNWlnSWNmZ0ZOc3cyd3hR?oc=5"" target=""_blank"">Walmart partners with OpenAI to let customers shop directly in ChatGPT, showing how AI is reshaping online retail</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Notebookcheck</font>","Walmart partners with OpenAI to let customers shop directly in ChatGPT, showing how AI is reshaping online retail - Notebookcheck  Walmart partners with OpenAI to let customers shop directly in ChatGPT, showing how AI is reshaping online retail    Notebookcheck ",0.0,0.0,1.0,0.0,neutral
"Artue, an artificial intelligence (AI) art curation service introduced by OpenAI at an opening cerem..",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68f37aab107b45f3aa53ba7fcb1caf7f&url=https%3a%2f%2fwww.mk.co.kr%2fen%2fit%2f11441190&c=849570316784823535&mkt=ko-kr,"""OpenAI"" - Bing뉴스",2025-10-14T01:21:00+00:00,"Artue, an artificial intelligence (AI) art curation service introduced by OpenAI at an opening ceremony to announce its entry into Korea, is a hot topic. The art AI agent service, which is linked to C ...","Artue, an artificial intelligence (AI) art curation service introduced by OpenAI at an opening cerem.. Artue, an artificial intelligence (AI) art curation service introduced by OpenAI at an opening ceremony to announce its entry into Korea, is a hot topic. The art AI agent service, which is linked to C ...",0.7351,0.112,0.888,0.0,positive
"OpenAI, 브로드컴과 ‘칩 동맹’…AI 인프라 대확장 [WSJ]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68f37aab107b45f3aa53ba7fcb1caf7f&url=https%3a%2f%2fwww.msn.com%2fko-kr%2fnews%2fother%2fopenai-%25EB%25B8%258C%25EB%25A1%259C%25EB%2593%259C%25EC%25BB%25B4%25EA%25B3%25BC-%25EC%25B9%25A9-%25EB%258F%2599%25EB%25A7%25B9-ai-%25EC%259D%25B8%25ED%2594%2584%25EB%259D%25BC-%25EB%258C%2580%25ED%2599%2595%25EC%259E%25A5-wsj%2far-AA1OpQKc&c=12840813352479703821&mkt=ko-kr,"""OpenAI"" - Bing뉴스",2025-10-13T21:54:18+00:00,"오픈AI가 브로드컴과 손잡고 맞춤형 AI 칩 개발에 본격 착수한다. 두 회사는 향후 4년 동안 총 10기가와트 (GW) 규모의 인공지능 컴퓨팅 인프라를 배포하는 초대형 계약을 체결했다. 업계에서는 이 계약 규모가 ""수십억 달러에 달한다""고 평가하고 있다.","OpenAI, 브로드컴과 ‘칩 동맹’…AI 인프라 대확장 [WSJ] 오픈AI가 브로드컴과 손잡고 맞춤형 AI 칩 개발에 본격 착수한다. 두 회사는 향후 4년 동안 총 10기가와트 (GW) 규모의 인공지능 컴퓨팅 인프라를 배포하는 초대형 계약을 체결했다. 업계에서는 이 계약 규모가 ""수십억 달러에 달한다""고 평가하고 있다.",0.0,0.0,1.0,0.0,neutral
"Broadcom shares soared nearly 10% in a day as OpenAI CEO Sam Altman, who is emerging as the ""hand of..",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68f37aab107b45f3aa53ba7fcb1caf7f&url=https%3a%2f%2fwww.mk.co.kr%2fen%2fstock%2f11440939&c=348271591824096409&mkt=ko-kr,"""OpenAI"" - Bing뉴스",2025-10-13T21:39:00+00:00,"Broadcom shares soared nearly 10% in a day as OpenAI CEO Sam Altman, who is emerging as the ""hand of Midas"" of the New York Stock Exchange, formalized his partnership with Broadcom, which was widely r ...","Broadcom shares soared nearly 10% in a day as OpenAI CEO Sam Altman, who is emerging as the ""hand of.. Broadcom shares soared nearly 10% in a day as OpenAI CEO Sam Altman, who is emerging as the ""hand of Midas"" of the New York Stock Exchange, formalized his partnership with Broadcom, which was widely r ...",0.8689,0.169,0.831,0.0,positive
